,goal_name,goal_name_key_pos,goal_weight,goal_words,goal_aver_word_len,goal_verbs_counter,goal_nouns_counter,goal_numr_counter,goal_adj_counter,goal_digit_counter,label_attractor_knowledge,label_attractor_hard_skill,label_attractor_soft_skill,label_attractor_tool,label_attractor_community,label_attractor_subjectivity,label_attractor_habits,label_attractor_career,label_attractor_fixing,label_attractor_art,label_attractor_health
4034,аттестат доцента,аттестат доцент,2.0,2,7.5,0,2,0,0,0,1,1,1,0,0,0,0,1,0,0,0.0
4092,получить образование ,получить образование,0.06309999999999999,3,6.33,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0.0
4193,формирование внимательного  вдумчивого созидающего и создающего взгляда на мир через целостное гармоничное развитие личности осознанность,формирование внимательный вдумчивый взгляд мир целостный гармоничный развитие личность осознанность,5.7738,16,7.62,0,6,0,4,0,1,1,1,0,0,0,0,0,0,0,0.0
4261,приобрести новые знания ,приобрести новый знание,0.5239,4,5.25,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0.0
4269,изучение иностранных языков,изучение иностранный язык,0.39549999999999996,3,8.33,0,2,0,1,0,1,1,1,0,0,1,0,0,0,0,0.0
4284,главное успешно закончить учебу ,главное закончить учёба,1.225,5,5.6,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0
4292,найти свою нишу в сфере it,найти свой ниша сфера,0.6076,6,3.5,1,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0.0
4344,обучение чему то новому ,обучение новый,0.083,5,4.0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0.0
4361,закончить вуз,закончить вуз,1.1,2,6.0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0.0
4366,перестать бояться совершать ошибки ,перестать бояться совершать ошибка,2.5,5,6.2,3,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0
4421,благополучие,благополучие,0.5,1,12.0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0.0
4430,dfd,,0.0,1,3.0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0.0
4487,знания,знание,0.0123,1,6.0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0.0
4507,квартира,квартира,0.3333,1,8.0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0.0
4525,тренировка мозга ,тренировка мозг,0.75,3,5.0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0.0
4560,улучшение качества жизни людей,улучшение качество жизнь человек,0.293,4,6.75,0,4,0,0,0,1,1,1,0,0,0,0,1,1,0,0.0
4561,изменение традиционных представлений,изменение традиционный представление,1.8333,3,11.33,0,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0.0
4637,поэнакомиться с новыми идеями  разработками в движении ws,поэнакомиться новый идея разработка движение,2.8449,9,5.44,1,3,0,1,0,1,1,1,0,0,0,0,0,1,0,0.0
4642,овладение новыми технологиями для развития своей профессиональной деятельности в будущем ,овладение новый технология развитие свой профессиональный деятельность будущее,1.0059,11,7.18,0,5,0,3,0,1,1,1,0,0,0,0,0,0,0,0.0
4702,оставить след в истории,оставить след история,3.0,4,5.0,1,2,0,0,0,1,1,1,0,0,0,0,0,1,0,0.0
4707,обеспечить свою мать и себя,обеспечить свой мать,1.5145,5,4.6,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0.0
4747,окончить учебу с красным дипломом,окончить учёба красный диплом,1.075,5,5.8,1,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0.0
4754,*,,0.0,1,1.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0
4770,защита докторской диссертации,защита докторский диссертация,1.6665999999999999,3,9.0,0,2,0,1,0,1,1,1,0,0,0,0,0,1,0,0.0
4787,изучение иностранного языка,изучение иностранный язык,0.39549999999999996,3,8.33,0,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0.0
4800,защитить докторскую диссертацию,защитить докторский диссертация,1.6665999999999999,3,9.67,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0.0
4830,интелектуальный рост,интелектуальный рост,1.0476,2,9.5,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0.0
4841,самообразование,самообразование,0.1111,1,15.0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0.0
4857,постичь себя кто ты есть перед собой,постичь есть,1.3333,7,4.29,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0
5017,эрудиция,эрудиция,0.3333,1,8.0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0.0
5033,выбор решений и действий для его реализации,выбор решение действие реализация,2.0333,7,5.29,0,4,0,0,0,1,1,1,0,0,1,0,0,0,0,0.0
5101,повысить профессиональные навыки и конкурентоспособность,повысить профессиональный навык конкурентоспособность,1.0958,5,10.4,1,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0.0
5190,повышение личной эффективности,повышение личный эффективность,0.47219999999999995,3,9.33,0,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0.0
5239,нравится математика,нравиться математик,2.0,2,9.0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0.0
5269,анализировать и осваивать   отбирать как можно больше информации,анализировать осваивать отбирать информация,2.1111,10,5.5,3,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0
5283,выучить английский язык,выучить английский язык,0.26849999999999996,3,7.0,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0.0
5310,добиться успеха в творчестве,добиться успех творчество,0.75,4,6.25,1,2,0,0,0,1,1,0,0,1,0,0,1,1,0,0.0
5351,личностный рост ,личностный рост,0.1905,3,4.67,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0.0
5353,повысить уровень знаний в области инновационного развития цифровой системы,повысить уровень знание область инновационный развитие цифровой система,2.0187,9,7.33,1,5,0,2,0,1,1,1,0,0,1,0,0,0,0,0.0
5407,познание себя и своих интересов,познание свой интерес,0.35740000000000005,5,5.4,0,2,0,1,0,1,1,1,0,0,0,0,1,0,0,0.0
5490,зарабатывать,зарабатывать,0.5,1,12.0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0.0
5525,а,,0.0,1,1.0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0.0
5534,учить всегда больше  чем дают,учить давать,1.3333,6,4.0,2,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0.0
5650,стать более образованным,стать,0.0303,3,7.33,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0.0
5696,научиться программированию,научиться программирование,0.37329999999999997,2,12.5,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0
5740,жизненный успех,жизненный успех,0.6667,2,7.0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0.0
5778,получить профессиональные знания и навыки,получить профессиональный знание навык,0.0721,5,7.4,1,2,0,1,0,1,1,1,0,1,0,0,0,0,0,0.0
5785,повысить эффективность преподавательской деятельности,повысить эффективность преподавательский деятельность,0.9514,4,12.5,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0.0
5789,развитие профессиональных и личностных компетенций,развитие профессиональный личностный компетенция,0.244,5,9.2,0,2,0,2,0,0,0,1,0,0,0,1,0,0,1,0.0
5809,закончить университет ,закончить университет,0.6,3,6.67,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0
5818,получить диплом и разбираться в своей специальности,получить диплом разбираться свой специальность,0.8591,7,6.43,2,2,0,1,0,1,1,1,1,0,1,0,0,0,1,0.0
5851,повышение уровня компетенций,повышение уровень компетенция,0.1136,3,8.67,0,3,0,0,0,0,0,1,0,0,1,1,0,0,0,0.0
5969,хочу большне знать,хотеть большний знать,1.4167,3,5.33,2,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0.0
5987,переподготовка менеджмент в образовании,переподготовка менеджмент образование,1.5435,4,9.0,0,3,0,0,0,1,0,0,0,0,1,1,0,0,0,0.0
6009,научиться качественно писать сложные нейросети,научиться писать сложный нейросеть,2.54,5,8.4,2,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0.0
6042,быть уверенным,быть уверенный,0.5217,2,6.5,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0.0
6044,френч,френч,1.0,1,5.0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0.0
6084,не потерять статуса учителя,потерять статус учитель,2.0,4,6.0,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0
6100,заработать много денег,заработать деньга,0.45,3,6.67,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0.0
6150,обучение,обучение,0.0714,1,8.0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0.0
6173,быть востребованной как можно дольше,быть,0.0217,5,6.4,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0.0
6182,самообразование ,самообразование,0.1111,2,7.5,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0.0
6183,повышение квалификации ,повышение квалификация,0.1389,3,7.0,0,2,0,0,0,1,0,1,0,1,1,0,0,0,0,0.0
6184,развитие творческих способностей,развитие творческий способность,0.4821,3,10.0,0,2,0,1,0,1,1,1,0,0,1,0,0,0,1,0.0
6256,выучить 2 иностранных языка,выучить 2 иностранный язык,0.5026,4,6.0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0.0
6260,получение новой професии,получение новый професия,1.083,3,7.33,0,2,0,1,0,1,1,1,0,0,1,0,0,0,0,0.0
6291,ну  во первых  развивать свой мозг,первый развивать свой мозг,0.8477999999999999,8,3.38,1,1,0,2,0,1,1,1,0,0,1,0,0,0,0,0.0
6359,получить образование ,получить образование,0.06309999999999999,3,6.33,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0.0
6378,поддерживать интерес к новому,поддерживать интерес новый,0.7116,4,6.5,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0.0
6410,быть востребованным,быть,0.0217,2,9.0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0.0
6429,получить новый навык,получить новый навык,0.0529,3,6.0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0.0
6503,расширение горизонтов,расширение горизонт,1.0526,2,10.0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0.0
6542,н,н,1.0,1,1.0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0.0
6555,путешествия 2 раза в год ,путешествие 2 раз год,1.2361,6,3.33,0,3,0,0,1,1,1,1,0,1,1,0,0,0,0,0.0
6566,получене знаний,получен знание,1.0123,2,7.0,0,2,0,0,0,1,1,1,0,0,0,0,1,1,0,0.0
6682,1,1,0.1667,1,1.0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0.0
6694,дом ,дом,1.0,2,1.5,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0.0
6700,нн,,0.0,1,2.0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0.0
6738,окончание бакалавриата  магистратуры  аспирантуры  обучение информационным технологиям программирование и тд,окончание бакалавриат магистратура аспирантура обучение информационный технология программирование,5.029700000000001,13,7.38,0,7,0,1,0,1,1,0,0,0,0,0,0,0,1,0.0
6770,бально спортивне танцы,бальный спортивень танец,2.5,3,6.67,0,2,0,1,0,1,1,0,0,0,0,1,0,0,0,0.0
6838,получить ученую степень,получить учёный степень,1.5196,3,7.0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0.0
6840,рост сознания,рост сознание,1.0476,2,6.0,0,2,0,0,0,1,1,1,0,0,0,0,1,0,0,0.0
6844,овладеть этим вопросом,овладеть вопрос,0.5333,3,6.67,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0
6878,поднять уровень владения английским ,поднять уровень владение английский,0.8679,5,6.4,1,2,0,1,0,1,1,0,0,0,0,0,0,0,1,0.0
6886,получить профессию  которая позволит мне безбедео жить в старости и не быть обузой детям,получить профессия который позволить безбедео жить старость быть обуза ребёнок,4.908,15,4.93,4,5,0,1,0,1,1,1,0,0,0,0,0,0,0,0.0
6903,расширить кругозор знаний,расширить кругозор знание,0.2457,3,7.67,1,2,0,0,0,1,1,0,1,0,0,0,0,1,0,0.0
6992,познакомиться с новым направлением,познакомиться новый направление,0.4616,4,7.75,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0.0
6996,повышение уровня знаний ,повышение уровень знание,0.0671,4,5.25,0,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0.0
7007,получение профессиональных навыков,получение профессиональный навык,0.1116,3,10.67,0,2,0,1,0,1,1,1,0,0,1,0,0,0,0,0.0
7018,приобретение знаний,приобретение знание,0.1552,2,9.0,0,2,0,0,0,1,0,1,1,0,1,1,1,0,0,0.0
7049,систематизировать знания  получить практический опыт,систематизировать знание получить практический опыт,1.2986000000000002,6,7.83,2,2,0,1,0,0,0,0,0,1,0,0,1,1,0,0.0
7074,узнать новые компьютерные программы,узнать новый компьютерный программа,1.583,4,8.0,1,1,0,2,0,1,1,1,0,0,0,0,1,0,0,0.0
7081,повысить квалификацию,повысить квалификация,0.16670000000000001,2,10.0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0.0
7100,личностный рост,личностный рост,0.1905,2,7.0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0.0
7122,научиться интересному и полезному,научиться интересный полезный,0.2364,4,7.5,1,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0.0
7168,научится скорочтению,научиться скорочтение,1.04,2,9.5,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0.0
